#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
convert_to_ukrainian;Embrace Ukrainian Culture;;;;;;;;;;;;;x
convert_to_ukrainian_desc;Our brethren in Muscovy are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;;;;;;;;;;;;x
convert_to_russian;Embrace Russian Culture;;;;;;;;;;;;;x
convert_to_russian_desc;Our brethren in Kiev are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;;;;;;;;;;;;x
convert_to_ruthenian;Embrace Ruthenian Culture;;;;;;;;;;;;;x
convert_to_ruthenian_desc;Our people came to the point where they can no longer consider themselves as  a part of our tribe. Perhaps it is time to lead them not as a tribal chief but as their Ruthenian Prince.;;;;;;;;;;;;;x
rule_ulichi;Rule the Tribe of Ulichi;;;;;;;;;;;;;x
rule_ulichi_desc;Become High Chief of Ulichi and lead your brethren to glory.;;;;;;;;;;;;;x
rule_polianians;Rule the Tribe of Polianians;;;;;;;;;;;;;x
rule_polianians_desc;Become High Chief of Polianians and lead your brethren to glory.;;;;;;;;;;;;;x
rule_slovenians;Rule the Tribe of Ilmen Slavs;;;;;;;;;;;;;x
rule_slovenians_desc;Become High Chief of Ilmen Slavs and lead your brethren to glory.;;;;;;;;;;;;;x
rule_volhyniani;Rule the Tribe of Volhynians;;;;;;;;;;;;;x
rule_volhyniani_desc;Become High Chief of Volhynians and lead your brethren to glory.;;;;;;;;;;;;;x
rule_kryvians;Rule the Tribe of Krivichi;;;;;;;;;;;;;x
rule_kryvians_desc;Become High Chief of Krivichi and lead your brethren to glory.;;;;;;;;;;;;;x
rule_severians;Rule the Tribe of Severiane;;;;;;;;;;;;;x
rule_severians_desc;Become High Chief of Severians and lead your brethren to glory.;;;;;;;;;;;;;x
rule_vyatichi;Rule the Tribe of Vyatichi;;;;;;;;;;;;;x
rule_vyatichi_desc;Become High Chief of Vyatichi and lead your brethren to glory.;;;;;;;;;;;;;x
rule_dregovichi;Rule the Tribe of Dregovichi;;;;;;;;;;;;;x
rule_dregovichi_desc;Become High Chief of Dregovichi and lead your brethren to glory.;;;;;;;;;;;;;x
rule_radimichi;Rule the Tribe of Radimichi;;;;;;;;;;;;;x
rule_radimichi_desc;Become High Chief of Radimichi and lead your brethren to glory.;;;;;;;;;;;;;x
convert_to_rusyn;Embrace Rusyn Culture;;;;;;;;;;;;;x
convert_to_rusyn_desc;Our brethren in Kiev and Muscovy are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;;;;;;;;;;;;x
create_carpathian_rus;Create Carpathian Rus;;;;;;;;;;;;;x
create_carpathian_rus_desc;Unite your Rusyn people and lead them to glory as the rulers of Carpathian Mountains.;;;;;;;;;;;;;x
hold_kupala;Hold Kupala Night;;;;;;;;;;;;;x
hold_kupala_desc;Celebrate the summer solstice and the fertility rite with a great festival.;;;;;;;;;;;;;x
reform_rus_religion;Start Religious Reform in Rus;;;;;;;;;;;;;x
reform_rus_religion_desc;Reform the faith and choose a new strong religion to replace wicked disorganised paganism in your land.;;;;;;;;;;;;;x
hold_koliada;Hold Koliada;;;;;;;;;;;;;x
hold_koliada_desc;Celebrate the winter solstice and end of the year with a great festival.;;;;;;;;;;;;;x
