#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_RUTH_1;The people of [Root.GetName] have developed their language and customs to a point where they may now be considered part of a distinct branch of Ruthenian culture. They have begun to refer to themselves as Ukrainian.;;;;;;;;;;;;;x
EVTOPTA_RUTH_1;What will they think of next, I wonder.;;;;;;;;;;;;;x
EVTOPTB_RUTH_1;Welcome into the fold, my Ukrainian brothers and sisters.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_2;The people of [Root.GetName] have developed their language and customs to a point where they may now be considered part of a distinct branch of Ruthenian culture. They have begun to refer to themselves as Russian.;;;;;;;;;;;;;x
EVTOPTA_RUTH_2;What will they think of next, I wonder.;;;;;;;;;;;;;x
EVTOPTB_RUTH_2;Welcome into the fold, my Russian brothers and sisters.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_3;The people of [Root.GetName] came to the point where they can no longer consider themselves as a part of the tribe. Now they are Ruthenians.;;;;;;;;;;;;;x
EVTOPTA_RUTH_3;What will they think of next, I wonder.;;;;;;;;;;;;;x
EVTOPTB_RUTH_3;Welcome into the fold, my Ruthenian brothers and sisters.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTNAME_RUTH_4;Hard times have come!;;;;;;;;;;;;;x
EVTDESC_RUTH_4;Our traditions are fading, foreign preachers speak of this new 'Christ God'.\nSee for yourself my chief, tribes are falling apart, honoured ways of living, our very traditions are being forsaken!\nTo the west the mighty Christian kingdoms seek to bring ruin to our lands and horrors to our people!To the east savage hordes of riders who worship the Sky seek to enslave us! And to the north our oldest foes, the Varangians who raid and plunder at our expense... but perhaps they can be persuaded to plunder the hated Christ-worshipers instead?\nIf we are to survive these dark times my chief, we must stand as one people, you must bring us together as one heart, one soul! Only then we can stand the test of time and pave our own way through history on our terms.\nMay the Gods protect us!;;;;;;;;;;;;;x
EVTOPTA_RUTH_4;We will fight with honour.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTNAME_RUTH_5;The Tribe Will Stand!;;;;;;;;;;;;;x
EVTDESC_RUTH_5;Despite all problems we stand the test of time.\nOur brethren have developed our own language and customs to a point where we are no longer considered one of primitive tribes.\nWe proved to ourselves and the whole world that we are a mighty nation.;;;;;;;;;;;;;x
EVTOPTA_RUTH_5;Let us see what future holds for our tribe.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTNAME_RUTH_6;The Tribe Forgotten!;;;;;;;;;;;;;x
EVTDESC_RUTH_6;Our tribe failed the test of time.\nOur brethren united with neighboring East Slavs and became one big family. From now on we are the part of something bigger then just a tribe.\nWe are Ruthenians.;;;;;;;;;;;;;x
EVTOPTA_RUTH_6;It is time to move on and build a civilized Slavic nation.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTNAME_RUTH_7;The Tribe Forgotten!;;;;;;;;;;;;;x
EVTDESC_RUTH_7;Our tribe failed the test of time.\nOur brethren united with neighboring East Slavs and became one big family. From now on we are the part of something bigger then just a tribe.\nWe are Ruthenians.;;;;;;;;;;;;;x
EVTOPTA_RUTH_7;It is time to move on and build a civilized Slavic nation.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_8;The people of [Root.GetName] came to the point where they can no longer consider themselves as a part of the tribe. Now they are Ruthenians.;;;;;;;;;;;;;x
EVTOPTA_RUTH_8;Welcome into the fold, my Ruthenian brothers and sisters.;;;;;;;;;;;;;x
EVTOPTB_RUTH_8;What will they think of next, I wonder.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_100;My advisors told me that the lords are prosperous and can handle an additional tribute. Should I demand it or not?;;;;;;;;;;;;;x
EVTOPTA_RUTH_100;I will demand more tribute!;;;;;;;;;;;;;x
EVTOPTB_RUTH_100;There is no need to inconvenience them.;;;;;;;;;;;;;x
EVTOPTC_RUTH_100;I will take all they have!Triple tribute!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_101;My advisors told me that people of [Root.GetName] had a good harvest this year and can handle an additional tribute. Should I demand it or not?;;;;;;;;;;;;;x
EVTOPTA_RUTH_101;I will demand more tribute!;;;;;;;;;;;;;x
EVTOPTB_RUTH_101;There is no need to inconvenience them.;;;;;;;;;;;;;x
EVTOPTC_RUTH_101;I will take all they have! Triple tribute!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_103;One of my vassals wants to judge a man with traditional laws of his culture. In my culture there is different punishment for such crime. Should I allow it or not?;;;;;;;;;;;;;x
EVTOPTA_RUTH_103;Allow the vassal to judge according to his laws.;;;;;;;;;;;;;x
EVTOPTB_RUTH_103;My land, my laws!;;;;;;;;;;;;;x
EVTOPTC_RUTH_103;This case requires a unique judgement...;;;;;;;;;;;;;x
EVTOPTD_RUTH_103;I don't care which law is used, just leave me alone!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_104;People of [Root.GetName] caught a robber and want to deal with him by their cultural laws. In my culture we punish robbery under different laws. Should I stop them?;;;;;;;;;;;;;x
EVTOPTA_RUTH_104;Let the crowd decide.;;;;;;;;;;;;;x
EVTOPTB_RUTH_104;One land, one law, both mine.;;;;;;;;;;;;;x
EVTOPTC_RUTH_104;This case requires a unique judgement...;;;;;;;;;;;;;x
EVTOPTD_RUTH_104;I don't care which law is used just leave me alone!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_105;My seer suggested to make an idol to praise the gods...;;;;;;;;;;;;;x
EVTOPTA_RUTH_105;Sure, let the gods be good to us.;;;;;;;;;;;;;x
EVTOPTB_RUTH_105;In the name of gods we'll make it perfect!;;;;;;;;;;;;;x
EVTOPTC_RUTH_105;An idol? Nah! I can happily live without it.;;;;;;;;;;;;;x
EVTOPTD_RUTH_105;There is no need to make it valuable...;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_10;The people of [Root.GetName] have developed their language and customs to a point where they may now be considered part of a distinct branch of Ruthenian culture. They have begun to refer to themselves Rusyn.;;;;;;;;;;;;;x
EVTOPTA_RUTH_10;What will they think of next, I wonder.;;;;;;;;;;;;;x
EVTOPTB_RUTH_10;Welcome into the fold, my Rusyn brothers and sisters.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTNAME_RUTH_106;Carpathian Rus;;;;;;;;;;;;;x
EVTDESC_RUTH_106;Finally after many years under foreign rulers our people possess their own promised land. The Rusyns rose up against foreigners' tyranny and fought back the invaders from this hills. From now on your dynasty will rule over Rusyns of all lands. We will claim our birthright on the mountains and one day all the Carpathians will belong to the rightful kingdom of Carpathian Rus.;;;;;;;;;;;;;x
EVTOPTA_RUTH_106;Long live the Carpathians!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_107;This night everyone can see a comet in the sky...;;;;;;;;;;;;;x
EVTOPTA_RUTH_107;It's an Omen!;;;;;;;;;;;;;x
EVTOPTB_RUTH_107;I don't fear the Gods' Wrath!;;;;;;;;;;;;;x
EVTOPTC_RUTH_107;WE ARE DOOMED!;;;;;;;;;;;;;x
EVTOPTD_RUTH_107;This amulet will protect you.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_200;You are old enough to choose your Patron God.;;;;;;;;;;;;;x
EVTOPTA_RUTH_200;Dazbog;;;;;;;;;;;;;x
EVTOPTB_RUTH_200;Jarilo;;;;;;;;;;;;;x
EVTOPTC_RUTH_200;Lada;;;;;;;;;;;;;x
EVTOPTD_RUTH_200;Perun;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_201;You are old enough to choose your Patron God.;;;;;;;;;;;;;x
EVTOPTA_RUTH_201;Odin;;;;;;;;;;;;;x
EVTOPTB_RUTH_201;Thor;;;;;;;;;;;;;x
EVTOPTC_RUTH_201;Freyja;;;;;;;;;;;;;x
EVTOPTD_RUTH_201;Loki;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_202;You are old enough to choose your Patron God.;;;;;;;;;;;;;x
EVTOPTA_RUTH_202;Ukko;;;;;;;;;;;;;x
EVTOPTB_RUTH_202;Akka;;;;;;;;;;;;;x
EVTOPTD_RUTH_202;Nnyrikki;;;;;;;;;;;;;x
EVTOPTC_RUTH_202;Sappo Ilmarinen;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_203;You are old enough to choose your Patron God.;;;;;;;;;;;;;x
EVTOPTA_RUTH_203;Dietas;;;;;;;;;;;;;x
EVTOPTB_RUTH_203;Perkunas;;;;;;;;;;;;;x
EVTOPTD_RUTH_203;Laima;;;;;;;;;;;;;x
EVTOPTC_RUTH_203;Zemyna;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTNAME_RUTH_204;Shia Islam;;;;;;;;;;;;;x
EVTDESC_RUTH_204;The preacher from the Far East has arrived and said:\n'Great Lord of Slavic people! The rumors about your glory comes to the farthest corners of the world. So has a word that you are seeking for the true God to believe instead of your pathetic deities. So hear my word as there is no God but Allah and Muhammad is His prophet!'\nAfter these words preacher explained all aspects of Shia Islam while you listened to him carefully.;;;;;;;;;;;;;x
EVTOPTA_RUTH_204;Ahl al-Bayt;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTNAME_RUTH_206;Sunni Islam;;;;;;;;;;;;;x
EVTDESC_RUTH_206;The preacher from the Far East has arrived and said:\n'Great Lord of Slavic people! Among my people there is a legend about mighty khagans of the West and now I speak to one. The great caliph has been told that you search for the true God to believe instead of old myths. So hear my word as there is no God but Allah and Muhammad is His prophet!'\nAfter these words the preacher explained all aspects of Sunni Islam while you listened to him carefully.;;;;;;;;;;;;;x
EVTOPTA_RUTH_206;There is no God but Allah and Muhammad is His prophet...;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTNAME_RUTH_207;Catholic Church;;;;;;;;;;;;;x
EVTDESC_RUTH_207;The preacher from Rome has arrived to your court:\n'Great Lord of Slavic people! I had a long journey to your distant land to spread the Word among your people. The Pope learned that you are ready to pray for your pagan deeds and kneel before Lord. For this I serve as the one who speaks for the Faith!'\nAnd so he began spreading the word of  Christian God in my hall and he told many stories of old times of Christ...;;;;;;;;;;;;;x
EVTOPTA_RUTH_207;Deus iustus est!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTNAME_RUTH_208;Orthodox Church;;;;;;;;;;;;;x
EVTDESC_RUTH_208;The preacher from Tsargorod has arrived to your court:\n'Great Lord of Slavic people and the Emperor's closest friend! I am honored to stand before you. As soon as the words were heard that you decided to pray for your sins and kneel before Lord my heart became full of love. The love that Lord gives to all of us. So let me tell you about his miracles!'\nAnd so spread the word of loving God who forgives the sins of the penitent.;;;;;;;;;;;;;x
EVTOPTA_RUTH_208;And forgive us our trespasses as we forgive our debtors...;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_209;Now I know about all of this 'One God' and need to decide which faith is true...;;;;;;;;;;;;;x
EVTOPTA_RUTH_209;Christi Dei mei!;;;;;;;;;;;;;x
EVTOPTB_RUTH_209;Kyrie Eleison!;;;;;;;;;;;;;x
EVTOPTC_RUTH_209;Ahl al-Bayt.;;;;;;;;;;;;;x
EVTOPTD_RUTH_209;There is no God but Allah and Muhammad is His prophet!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1001;The Night to celebrate Kupala feast has come.;;;;;;;;;;;;;x
EVTOPTA_RUTH_1001;Allow revelry to rule here!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1002;With sunrise Kupala Night is ending.;;;;;;;;;;;;;x
EVTOPTA_RUTH_1002;The celebration of youth never ends.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1003;On this night all young people jump over the flames of bonfires in a ritual test of bravery and faith. Will you join your people?;;;;;;;;;;;;;x
EVTOPTA_RUTH_1003;Of course I will!;;;;;;;;;;;;;x
EVTOPTB_RUTH_1003;It is too dangerous.;;;;;;;;;;;;;x
EVTOPTC_RUTH_1003;The Lord will not spend time with commoners!;;;;;;;;;;;;;x
EVTOPTD_RUTH_1003;I'm getting too old for this.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1004;On the Kupala Night all young people jump over the flames of bonfires in a ritual test of bravery and faith. Should I ask my spouse to jump with me?;;;;;;;;;;;;;x
EVTOPTA_RUTH_1004;Let us join, my dear!;;;;;;;;;;;;;x
EVTOPTB_RUTH_1004;Not this time...;;;;;;;;;;;;;x
EVTOPTC_RUTH_1004;I'm too old for this.;;;;;;;;;;;;;x
