#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
controls_galich_volhynia;Controls Duchy of Galich and Duchy of Volhynia\n;;;;;;;;;;;;;x
controls_crimea;Controls Duchy of Crimea\n;;;;;;;;;;;;;x
controls_poland_lithuania;Controls Kingdom of Poland and Kingdom of Lithuania;;;;;;;;;;;;;x
ANY_ALL;Province;;;;;;;;;;;;;x
kupala_separated_hands;You separated hands in the jump;;;;;;;;;;;;;x
prepare_kupala;You begin preparations for the Kupala Night.;;;;;;;;;;;;;x
rus_religion_reform_start;Invite preachers from distant lands.;;;;;;;;;;;;;x
successful_runaway;You've successfully ran away;;;;;;;;;;;;;x
#Buildings;;;;;;;;;;;;;;x
ca_culture_group_east_slavic_1;Druzhina Training Ground;;;;;;;;;;;;;x
ca_culture_group_east_slavic_2;Druzhina Training Ground;;;;;;;;;;;;;x
ca_culture_group_east_slavic_3;Druzhina Training Ground;;;;;;;;;;;;;x
ca_culture_group_east_slavic_4;Druzhina Training Ground;;;;;;;;;;;;;x
